,id_x,person_mbti,mbti_test,character,movie,new_title,genre_ids,id_y,popularity,release_date,title,vote_average,vote_count
0,0,ENFP,michaelcaloz.com,Tony Stark,Avengers: Endgame,Avengers: Endgame,"[12, 878, 28]",299534,259.946,2019-04-24,Avengers: Endgame,8.254,24903
1,0,ENFP,michaelcaloz.com,Rocket Raccoon,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,"[878, 12, 28]",447365,166.533,2023-05-03,Guardians of the Galaxy Vol. 3,8.0,6280
2,0,ENFP,michaelcaloz.com,Captain America,Avengers: Endgame,Avengers: Endgame,"[12, 878, 28]",299534,259.946,2019-04-24,Avengers: Endgame,8.254,24903
3,0,ENFP,michaelcaloz.com,Peter Parker,Spider-Man: Far From Home,Spider-Man: Far From Home,"[28, 12, 878]",429617,97.583,2019-06-28,Spider-Man: Far From Home,7.429,15169
4,0,ENFP,michaelcaloz.com,Hobie Brown,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,219.165,2023-05-31,Spider-Man: Across the Spider-Verse,8.363,6292
5,0,ENFP,michaelcaloz.com,Peter Parker,The Amazing Spider-Man,The Amazing Spider-Man,"[28, 12, 878]",1930,116.347,2012-06-23,The Amazing Spider-Man,6.7,16892
6,0,ENFP,michaelcaloz.com,Celine,Before Sunrise,Before Sunrise,"[18, 10749]",76,34.251,1995-01-27,Before Sunrise,7.971,3954
7,0,ENFP,michaelcaloz.com,Jesse Wallace,Before Sunrise,Before Sunrise,"[18, 10749]",76,34.251,1995-01-27,Before Sunrise,7.971,3954
8,0,ENFP,michaelcaloz.com,Bella Baxter,Poor Things,Poor Things,"[878, 10749, 35]",792307,269.302,2023-12-07,Poor Things,7.8,3419
9,0,ENFP,michaelcaloz.com,Miles Morales,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,219.165,2023-05-31,Spider-Man: Across the Spider-Verse,8.363,6292
10,1,INTP,16Personalities,Johnny English,Johnny English,Johnny English,"[12, 28, 35]",9486,25.218,2003-03-14,Johnny English,6.275,3313
11,1,INTP,16Personalities,Tony Stark,Avengers: Infinity War,Avengers: Infinity War,"[12, 28, 878]",299536,340.941,2018-04-25,Avengers: Infinity War,8.247,28911
12,1,INTP,16Personalities,"Captain Pete ""Maverick"" Mitchell",Top Gun: Maverick,Top Gun: Maverick,"[28, 18]",361743,174.633,2022-05-21,Top Gun: Maverick,8.22,8627
13,1,INTP,16Personalities,Neo,The Matrix,The Matrix,"[28, 878]",603,414.18,1999-03-31,The Matrix,8.2,24923
14,1,INTP,16Personalities,Wade Watts,Ready Player One,Ready Player One,"[12, 28, 878]",333339,64.343,2018-03-28,Ready Player One,7.6,15089
15,1,INTP,16Personalities,Benoit Blanc,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,"[35, 80, 9648]",661374,84.693,2022-11-12,Glass Onion: A Knives Out Mystery,7.048,5155
16,1,INTP,16Personalities,Stephen Strange,Doctor Strange,Doctor Strange,"[28, 12, 14]",284052,345.151,2016-10-25,Doctor Strange,7.422,21608
17,1,INTP,16Personalities,J. Robert Oppenheimer,Oppenheimer,Oppenheimer,"[18, 36]",872585,622.612,2023-07-19,Oppenheimer,8.1,8110
18,1,INTP,16Personalities,Puss in Boots,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,"[16, 12, 14, 35, 10751]",315162,204.807,2022-12-07,Puss in Boots: The Last Wish,8.237,7279
19,1,INTP,16Personalities,Loki,Avengers: Infinity War,Avengers: Infinity War,"[12, 28, 878]",299536,340.941,2018-04-25,Avengers: Infinity War,8.247,28911
20,2,INFP,Truity,Amelie Poulain,Amelie,Amélie,[],891850,0.19,2021-11-11,Amélie,0.0,0
21,2,INFP,Truity,V,V for Vendetta,V for Vendetta,"[28, 53, 878]",752,53.432,2006-02-23,V for Vendetta,7.9,14091
22,2,INFP,Truity,Ellen Ripley,Alien,Alien,"[27, 878]",348,414.159,1979-05-25,Alien,8.153,13971
23,2,INFP,Truity,Mathilda,Mathilda,Mathilda,[],407934,0.784,2012-07-31,Mathilda,7.4,8
24,2,INFP,Truity,Willy Wonka,Willy Wonka & the Chocolate Factory (1971),Willy Wonka & the Chocolate Factory,"[10751, 14, 35]",252,54.425,1971-06-29,Willy Wonka & the Chocolate Factory,7.503,3426
25,2,INFP,Truity,Remus Lupin,Harry Potter,Harry Potter and the Philosopher's Stone,"[12, 14]",671,168.719,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26578
